
Time, Start Time, End Time, Job Id, Input Period, Input Runtime, Input Ratio, Actual Runtime, Actual Period, Actual Ratio
  1528527077, 300,1528527077.065392, 65, 94.379997, 34.933334, 0.370135, 34.937840, 101.469024, 0.344320

  1528527077, 300,1528527077.246395, 66, 94.379997, 34.777779, 0.368487, 34.781658, 101.652061, 0.342164

  1528527078, 300,1528527078.198739, 52, 94.379997, 5.628889, 0.059641, 5.629076, 102.616151, 0.054856

  1528527078, 0,1528527078.501933, 7, 94.379997, 0.009533, 0.000101, 0.009535, 402.938353, 0.000024

  1528527079, 300,1528527079.886802, 53, 94.379997, 4.211111, 0.044619, 4.211165, 104.292821, 0.040378

  1528527080, 300,1528527080.408057, 57, 94.379997, 3.373333, 0.035742, 3.373494, 104.818513, 0.032184

  1528527080, 300,1528527080.416288, 60, 94.379997, 1.305556, 0.013833, 1.305557, 104.835552, 0.012453

  1528527081, 300,1528527081.050454, 64, 94.379997, 6.088889, 0.064515, 6.089401, 105.469106, 0.057736

  1528527083, 300,1528527083.478350, 56, 94.379997, 2.082000, 0.022060, 2.082136, 107.883553, 0.019300

  1528527084, 300,1528527084.198654, 54, 94.379997, 1.436000, 0.015215, 1.436118, 108.614227, 0.013222

  1528527085, 300,1528527085.528904, 63, 94.379997, 2.155852, 0.022842, 2.155968, 109.914310, 0.019615

  1528527087, 300,1528527087.668204, 55, 94.379997, 0.833333, 0.008830, 0.833381, 112.083056, 0.007435

  1528527094, 300,1528527094.842637, 61, 94.379997, 45.733334, 0.484566, 45.737106, 119.261164, 0.383504

  1528527102, 328,1528527102.085932, 67, 94.379997, 3.412822, 0.036160, 3.413326, 98.495813, 0.034655

  1528527109, 300,1528527109.658008, 59, 94.379997, 34.288891, 0.363307, 34.294395, 134.067669, 0.255799

  1528527158, 374,1528527158.670652, 68, 94.379997, 2.450933, 0.025969, 2.451296, 109.078953, 0.022473

  1528527172, 400,1528527172.996811, 78, 94.379997, 30.444445, 0.322573, 30.447128, 97.399228, 0.312601

  1528527176, 400,1528527176.284785, 81, 94.379997, 38.688889, 0.409927, 38.695202, 100.679495, 0.384340

  1528527177, 400,1528527177.119257, 71, 94.379997, 2.335556, 0.024746, 2.335791, 101.515653, 0.023009

  1528527179, 100,1528527179.360673, 22, 94.379997, 0.009533, 0.000101, 0.009537, 403.786957, 0.000024

  1528527181, 400,1528527181.336099, 69, 94.379997, 5.668889, 0.060065, 5.669517, 105.736531, 0.053619

  1528527181, 400,1528527181.373484, 73, 94.379997, 4.835556, 0.051235, 4.836261, 105.778317, 0.045721

  1528527181, 400,1528527181.910919, 76, 94.379997, 1.100222, 0.011657, 1.100240, 106.313102, 0.010349

  1528527182, 400,1528527182.427212, 72, 94.379997, 2.320000, 0.024581, 2.320164, 106.829088, 0.021718

  1528527183, 400,1528527183.546650, 77, 94.379997, 37.755554, 0.400038, 37.757931, 107.947756, 0.349780

  1528527185, 400,1528527185.716557, 79, 94.379997, 1.283437, 0.013599, 1.283542, 110.114301, 0.011656

  1528527186, 400,1528527186.651429, 70, 94.379997, 0.974889, 0.010329, 0.975003, 111.048455, 0.008780

  1528527189, 400,1528527189.242334, 82, 94.379997, 38.733334, 0.410398, 38.735863, 113.639160, 0.340867

  1528527195, 418,1528527195.451458, 83, 94.379997, 6.971170, 0.073863, 6.971307, 101.851027, 0.068446
